,beta,alpha,d,v,s,k,range_scenario,A_v_k
393,0.0,0.0,0.0,0,3,s93,41.19900370963044,1
394,0.0,0.0,0.0,0,3,s94,103.59916850860048,1
395,0.0,0.0,0.0,0,3,s95,85.33577441286991,1
396,0.0,0.0,0.0,0,3,s96,45.937306893198055,1
397,0.0,0.0,0.0,0,3,s97,40.64833557035966,1
398,0.0,0.0,0.0,0,3,s98,75.51344273724173,1
399,0.0,0.0,0.0,0,3,s99,68.89189042413598,0
400,0.0,0.0,0.0,1,0,s0,87.24648809612748,0
401,1.0,0.0,12.080071215114693,1,0,s1,78.2620227390377,1
402,0.0,0.0,0.0,1,0,s2,58.82438821390615,0
403,1.0,0.0,12.080071215114693,1,0,s3,58.7414181850107,1
404,0.0,0.0,0.0,1,0,s4,51.52136012655755,0
405,1.0,0.0,12.080071215114693,1,0,s5,49.331962384466095,1
406,1.0,0.0,12.080071215114693,1,0,s6,13.646324639835257,1
407,1.0,0.0,12.080071215114693,1,0,s7,70.82045880067415,1
408,0.0,0.0,0.0,1,0,s8,71.19514120577276,0
409,1.0,0.0,12.080071215114693,1,0,s9,93.7457385645416,1
410,0.0,0.0,0.0,1,0,s10,148.43466588961843,0
411,1.0,0.0,12.080071215114693,1,0,s11,70.91215086747059,1
412,1.0,0.0,12.080071215114693,1,0,s12,33.24896137827551,1
413,0.0,0.0,0.0,1,0,s13,85.38444562273155,0
414,0.0,0.0,0.0,1,0,s14,95.36918704890552,0
415,1.0,0.0,12.080071215114693,1,0,s15,75.15029392499889,1
416,1.0,0.0,12.080071215114693,1,0,s16,81.73518865294531,1
417,1.0,0.0,12.080071215114693,1,0,s17,64.75709208712058,1
418,0.0,0.0,0.0,1,0,s18,101.14361231556816,0
419,0.0,0.0,0.0,1,0,s19,84.3466201483025,0
420,0.0,0.0,0.0,1,0,s20,134.20058556895634,0
421,0.0,0.0,0.0,1,0,s21,64.56612194769473,0
422,0.0,0.0,0.0,1,0,s22,64.26775067725517,0
423,0.0,0.0,0.0,1,0,s23,107.16545908777314,0
424,1.0,0.0,12.080071215114693,1,0,s24,69.27779127126058,1
425,1.0,0.0,12.080071215114693,1,0,s25,55.92563683323955,1
426,1.0,0.0,12.080071215114693,1,0,s26,104.51203405514823,1
427,1.0,0.0,12.080071215114693,1,0,s27,79.98646667806443,1
428,0.0,0.0,0.0,1,0,s28,114.06099130625348,0
429,1.0,0.0,12.080071215114693,1,0,s29,36.749334544203485,1
430,1.0,0.0,12.080071215114693,1,0,s30,24.78440120694185,1
431,0.0,0.0,0.0,1,0,s31,130.55324345099692,0
432,0.0,0.0,0.0,1,0,s32,121.56529414643624,0
433,1.0,0.0,12.080071215114693,1,0,s33,44.598370198501264,1
434,0.0,0.0,0.0,1,0,s34,74.87374561835652,0
435,0.0,0.0,0.0,1,0,s35,57.90413562773553,0
436,1.0,0.0,12.080071215114693,1,0,s36,43.43384595965777,1
437,0.0,0.0,0.0,1,0,s37,104.95401468691662,0
438,0.0,0.0,0.0,1,0,s38,77.8670797469697,0
439,0.0,0.0,0.0,1,0,s39,97.96443952949524,0
440,1.0,0.0,12.080071215114693,1,0,s40,101.2328980004464,1
441,1.0,0.0,12.080071215114693,1,0,s41,47.43674423753605,1
442,1.0,0.0,12.080071215114693,1,0,s42,12.647581181770242,1
443,1.0,0.0,12.080071215114693,1,0,s43,90.88863353595198,1
444,1.0,0.0,12.080071215114693,1,0,s44,33.83100528646747,1
445,0.0,0.0,0.0,1,0,s45,91.8818193778518,0
446,1.0,0.0,12.080071215114693,1,0,s46,92.06021260476338,1
447,0.0,0.0,0.0,1,0,s47,107.45591969753218,0
448,0.0,0.0,0.0,1,0,s48,79.19235108076109,0
449,1.0,0.0,12.080071215114693,1,0,s49,118.61135319242156,1
450,0.0,0.0,0.0,1,0,s50,71.26531272306863,0
451,1.0,0.0,12.080071215114693,1,0,s51,76.84426822584226,1
452,1.0,0.0,12.080071215114693,1,0,s52,60.44092528364659,1
453,0.0,0.0,0.0,1,0,s53,137.52410751072608,0
454,1.0,0.0,12.080071215114693,1,0,s54,104.51957655342326,1
455,0.0,0.0,0.0,1,0,s55,92.12599753756042,0
456,1.0,0.0,12.080071215114693,1,0,s56,37.2450021661674,1
457,1.0,0.0,12.080071215114693,1,0,s57,46.37507950636007,1
458,1.0,0.0,12.080071215114693,1,0,s58,90.5941826887102,1
459,1.0,0.0,12.080071215114693,1,0,s59,26.125824717230717,1
460,0.0,0.0,0.0,1,0,s60,147.35547114591407,0
461,0.0,0.0,0.0,1,0,s61,60.856759369880805,0
462,1.0,0.0,12.080071215114693,1,0,s62,30.63802131937769,1
463,0.0,0.0,0.0,1,0,s63,99.0767746280678,0
464,0.0,0.0,0.0,1,0,s64,124.58505307676634,0
465,1.0,0.0,12.080071215114693,1,0,s65,16.878673815192336,1
466,0.0,0.0,0.0,1,0,s66,101.925294343409,0
467,1.0,0.0,12.080071215114693,1,0,s67,30.33730807013182,1
468,1.0,0.0,12.080071215114693,1,0,s68,92.65693142739116,1
469,0.0,0.0,0.0,1,0,s69,46.06061447388738,0
470,0.0,0.0,0.0,1,0,s70,82.46872524006916,0
471,1.0,0.0,12.080071215114693,1,0,s71,86.01210208152308,1
472,0.0,0.0,0.0,1,0,s72,108.66690604937266,0
473,0.0,0.0,0.0,1,0,s73,95.61599311561274,0
474,1.0,0.0,12.080071215114693,1,0,s74,44.9997325426968,1
475,1.0,0.0,12.080071215114693,1,0,s75,12.080071215114693,1
476,1.0,0.0,12.080071215114693,1,0,s76,28.807434232521807,1
477,1.0,0.0,12.080071215114693,1,0,s77,33.9495532868868,1
478,0.0,0.0,0.0,1,0,s78,125.6527697752131,0
479,1.0,0.0,12.080071215114693,1,0,s79,87.71443530283874,1
480,0.0,0.0,0.0,1,0,s80,139.75039122470494,0
481,1.0,0.0,12.080071215114693,1,0,s81,63.4274877228332,1
482,1.0,0.0,12.080071215114693,1,0,s82,69.34922304641705,1
483,0.0,0.0,0.0,1,0,s83,37.77353597259822,0
484,1.0,0.0,12.080071215114693,1,0,s84,33.92949248417591,1
485,0.0,0.0,0.0,1,0,s85,110.1184409868744,0
486,0.0,0.0,0.0,1,0,s86,93.3782793962653,0
487,0.0,0.0,0.0,1,0,s87,107.89324528388374,0
488,0.0,0.0,0.0,1,0,s88,83.10627058042525,0
489,0.0,0.0,0.0,1,0,s89,118.53167889168756,0
490,1.0,0.0,12.080071215114693,1,0,s90,46.545121572877946,1
491,0.0,0.0,0.0,1,0,s91,95.15220248448732,0
492,0.0,0.0,0.0,1,0,s92,103.07334427695068,0
493,0.0,0.0,0.0,1,0,s93,110.60407016581716,0
494,1.0,0.0,12.080071215114693,1,0,s94,99.06421670060324,1
495,1.0,0.0,12.080071215114693,1,0,s95,78.63794064582231,1
496,1.0,0.0,12.080071215114693,1,0,s96,87.73641205876649,1
497,0.0,0.0,0.0,1,0,s97,117.16937281932498,0
498,1.0,0.0,12.080071215114693,1,0,s98,79.00855320194,1
499,1.0,0.0,12.080071215114693,1,0,s99,82.9049188383455,1
500,0.0,0.0,0.0,1,1,s0,87.24648809612748,0
